airline_name,avg_seat_comfort,avg_cabin_staff_service,avg_food_beverages,avg_ground_service,avg_inflight_entertainment,avg_wifi_connectivity,avg_value_for_money
SkyWork Airlines,2.5,3,2.5,2.5,2,1,2
Thomson Airways,2.78,3.4,2.9208944827586207,3.25,2.44,1.12,3.16
TUIfly,2.5586841849778303,2.9600777732129817,2.4895681697612715,1.9538461538461538,2.0153846153846153,1.1076923076923078,2.8395712769474377
ViaAir,1.6925794546219455,1.8974190105806625,2.634752351097178,1.5454545454545454,2.090909090909091,1.1818181818181819,1.3636363636363635
Comair,2.9549821203197295,3.0712114642271677,2.896793103448275,2.02,1.98,1,2.92
Qantas Airways,2.378551220025242,2.5461482734916188,2.2264303448275857,2.26,2.34,1.52,1.8745116489482019
Belavia,2.819866311410275,3.1321276858265907,2.7571494252873574,2.2222222222222223,1.9111111111111112,1.0444444444444445,3.084547990650683
Air Italy,2.9431209032800902,3.1166073338439313,3.200462736373749,2.838709677419355,2.3225806451612905,1.3225806451612903,2.838709677419355
Alaska Airlines,2.2994699200673114,2.687160911638728,2.4483965517241364,2.03,1.91,1.7,2.08
NordStar,3,3,3,5,2,1,5
Cobalt,3.790930444537933,3.9857343462652546,3.1349272030651343,3.3333333333333335,1.9444444444444444,1.2222222222222223,3.611111111111111
Dragonair,3.516183740008414,3.7787160911638726,3.4055358620689655,2.22,2.77,1.05,3.66
Winair,2.319535428811828,2.2490311761106536,2.553586206896551,1.5714285714285714,2,1,1.1428571428571428
Air Mauritius,2.6323674800168284,3.266148273491618,2.7976793103448276,2.62,2.35,1.14,2.74
StarFlyer,3.6425203337540313,3.9358045581936434,3.443459770114942,2.8333333333333335,3,2.1666666666666665,3.7255824474100887
Peruvian Airlines,1.6190319535079396,1.8544934472738275,2.051084202085004,1.3255813953488371,1.7209302325581395,1,1.5116279069767442
China United Airlines,3,2.4,2.4214344827586207,2.4,1.4,1,3.4
Evelop Airlines,1.6666666666666667,2.1666666666666665,2,1.8333333333333333,1.8333333333333333,1.1666666666666667,2.5
Myanmar National Airlines,4.2727272727272725,4.545454545454546,4.050326018808778,3.6363636363636362,2.6363636363636362,1.6363636363636365,3.8181818181818183
Oman Air,3.1087983803113133,3.1624953730632925,2.926970344827583,2.31,2.69,1.19,2.45
Ernest Airlines,2.4045935002103493,2.4679022790968217,2.5535862068965516,2,2,1,2
Ellinair,3.642857142857143,4.357142857142857,3.729596059113301,3.7142857142857144,2.142857142857143,1,3.857142857142857
XL Airways France,2.205626436037667,3.095632171751889,2.5494535809018553,1.794871794871795,2.0128205128205128,1.1923076923076923,3.076923076923077
China Eastern Airlines,2.788551220025242,2.7161482734916182,2.3942868965517237,2.31,2.23,1.16,2.78
Yangon Airways,3.5591870004206987,3.1858045581936434,3.0267931034482753,1.25,1.5,1,4.25
Armenia Air Company,2.618374000841397,2.8716091163872877,2.5535862068965516,1,2,1,1
VivaColombia,1.6428150417192542,1.5336422364408724,1.79539367816092,1.2083333333333333,1.6666666666666667,1.0416666666666667,1.5
Greater Bay Airlines,2.25,1.75,1.888396551724138,1.75,1.75,1,2
Air Burkina,3.5,4,3.5,2.5,2,1,3.5
Delta Air Lines,2.4685512200252417,2.7261482734916185,2.3328606896551722,2.21,2.59,2.07,2.08
Firefly,2.8022593162544513,3.2431472632191176,2.826137931034478,1.9473684210526316,1.986842105263158,1,3.2732562292408254
Brussels Airlines,2.2480211400925527,2.5858770028026017,2.258042068965515,1.98,1.91,1.02,1.89
QantasLink,2.7131447202355923,3.0240505525884402,2.5426834482758616,2.4,1.7,1.03,2.9
Sun-Air,4.5,5,5,5,2.5,1,5
Avior Airlines,2.787985556022998,2.7064495091040484,2.085325670498084,1.1111111111111112,1.6666666666666667,1,2.6449621754756345
Jetstar Asia,2.269469920067311,2.4984448204748553,2.4819744827586177,2.21,1.92,1.04,2.45
AirAsia Zest,2.924426968121922,2.877500891271679,1.708533926585095,1.3870967741935485,1.4516129032258065,1,3.2580645161290325
Nordavia,2.5591870004206987,3.1858045581936434,3.165189655172414,1.75,2.75,1,1.8627912237050441
China Airlines,3.464734960033655,3.594864364655491,3.284286896551724,3.01,3.05,1.67,3.41
Zambia Airways,2,4,1,3,2,1,5
Sun Country Airlines,2.1089398401346227,2.338173549785838,2.3412572413793074,1.57,1.89,1.31,1.72
Wings Air,2.5056368571829237,2.3272194817327283,2.4056256157635474,2.0952380952380953,1.9047619047619047,1,2.0476190476190474
Air Cote d'Ivoire,2,1,1,1,1,1,1
Turkish Airlines,2.4285512200252417,2.514864364655492,2.621966206896551,1.8,2.57,1.77,2.08
Air Malawi,2.618374000841397,2.8716091163872877,2.5535862068965516,1,2,1,2.4511648948201765
Tigerair Australia,1.7922260201935207,2.0691861879329485,2.250725517241376,1.41,1.82,1,1.62
Ethiopian Airlines,2.8589398401346227,3.019457458621965,2.7873248275862066,2.32,2.3,1.26,2.48
