airline_name,avg_seat_comfort,avg_cabin_staff_service,avg_food_beverages,avg_ground_service,avg_inflight_entertainment,avg_wifi_connectivity,avg_value_for_money
Africa World Airlines,2,2.7777777777777777,2.678574712643678,1.4444444444444444,1.7777777777777777,1,1.7777777777777777
Avelo Airlines,2.4635669685361905,2.6876938790845757,2.373883847549906,1.9578947368421054,1.9263157894736842,1.063157894736842,2.210526315789474
Air Namibia,3.092085422041549,3.3073050490789724,3.043251350228496,1.6987951807228916,2.0843373493975905,1.0240963855421688,3.1325301204819276
MAYAir,3,4,2.5535862068965516,3,2,1,4
Air Juan,2.4095864352215983,2.3622138483928152,2.5535862068965525,1.2173913043478262,2,1,1.173913043478261
Gulf Air,3.189469920067312,2.928444820474855,2.699645517241379,2.48,2.45,1.38,2.59
Icelandair,2.41130732015145,2.61688964094971,2.29268344827586,1.73,2.25,1.48,1.98
Thai Lion Air,2.0874910601598655,2.2043218232774575,2.0689365517241365,1.61,1.75,1.04,1.61
Kenya Airways,2.611837400084139,2.8971609116387276,2.450717241379309,2,2.21,1.2,2.11
Austrian Airlines,2.2771024400504833,2.8397287293109827,2.3839324137931026,1.96,2,1.22,1.97
Breeze Airways,2.5947349600336556,2.98101263814711,2.341434482758619,2.01,1.84,1.33,2.28
Swoop,1.8732861800588978,2.07101263814711,2.0855441379310324,1.62,1.68,1.08,1.62
Aerocaribbean,2.618374000841397,2.871609116387288,2.5535862068965516,1,2,1,2.967443263213451
Rossiya Airlines,2.881866227483077,3.286084097278639,2.810068965517242,1.9090909090909092,1.4318181818181819,1.0227272727272727,3.452325677037281
Aigle Azur,2.6221602860748847,2.587832478451695,2.22067487684729,1.4285714285714286,1.7857142857142858,1,2.239535334604324
Red Wings Airlines,2.6545935002103493,3.2179022790968217,2.526793103448276,1.5,2.5,1,1.75
VivaAerobús,1.765123580143037,1.9881735497858377,2.0489365517241356,1.47,1.66,1.12,1.61
Yakutia Airlines,2.8091870004206987,2.9358045581936434,2.7767931034482753,2,2,1,3.5
Easyfly,3,3.142857142857143,2.808679802955665,3.2857142857142856,2,1,3.4285714285714284
Azerbaijan Airlines,3.5634481179935125,3.608897871453585,3.5596176470588197,2.588235294117647,2.7205882352941178,1.088235294117647,3.6061564458400426
PAL Express,2.2222222222222223,2.5555555555555554,1.95039846743295,1.4444444444444444,1.1111111111111112,1,2.7777777777777777
Phuket Air,2.6183740008413983,2.8716091163872894,2.5535862068965534,1,2,1,2.4511648948201774
Air Astana,4.02091870004207,4.1835804558193646,3.9353586206896556,3.62,3.47,1.62,3.61
AirAsia,2.14130732015145,2.5330379144413286,2.2300082758620667,1.74,1.76,1.05,1.97
Ural Airlines,2.814394526492926,3.3940229718710087,2.7885408348457354,2.210526315789474,1.9473684210526316,1,2.731701567875808
BA CityFlyer,3.9356594446781665,3.950446976774243,3.417662835249039,2.4444444444444446,2,1,3.9722222222222223
ITA Airways,1.7494699200673116,1.9984448204748557,1.8350041379310338,1.52,1.83,1.1,1.49
Eswatini Air,4,5,4,4,3,1,4
Andes Líneas Aéreas,1.8091870004206985,1.9358045581936438,2.5535862068965516,1,2,1,1
China Southern Airlines,4.466183740008415,4.718716091163873,4.261071724137931,4.87,3.85,1.66,4.54
Corsair,2.660335375473287,3.0527801279678486,2.646958333333335,1.7708333333333333,2.0625,1.1666666666666667,2.805620900248814
Salam Air,1.7379268335436826,1.8845689457634884,1.9062586206896548,1.25,1.5,1,1.5833333333333333
Hong Kong Airlines,3.3247349600336555,3.513580455819364,2.9208944827586207,2.77,2.85,1.19,3.48
Mack Air,4,3,2.5535862068965516,5,2,1,5
Kam Air,2.5962892150970625,2.8761945050877427,2.5695295566502474,1.0357142857142858,1.9642857142857142,1,2.4350518628623123
Moldavian Airlines,2.618374000841397,2.8716091163872877,2.5535862068965516,1,2,1,2.7609319158561414
Volotea,3.6047349600336567,3.813580455819364,2.8276875862068946,3.32,2.4,1.75,3.53
Wamos Air,1.8666666666666667,2.466666666666667,2.1702390804597704,3,1.7333333333333334,1,2.4
Hainan Airlines,4.456183740008414,4.768716091163872,4.466607586206897,4.28,4.01,1.47,4.54
TAR Aerolineas,2.9414995559295094,3.2762707183943496,2.751992337164751,2.3333333333333335,1.7777777777777777,1,2.4444444444444446
Georgian Airways,2.320076873063832,2.40318910110037,2.15650156739812,1.4545454545454546,1.690909090909091,1,1.8421147004996825
Mokulele Airlines,2.6811632309633993,2.508832873012451,1.3667639257294428,1.1538461538461537,1,1,1.6923076923076923
Sunwing Airlines,1.8894699200673117,2.459728729310983,2.0514344827586197,1.77,1.67,1.11,1.72
NokScoot,2,2,2.276793103448276,3,2,1,3
Thai AirAsia,2.885962060657054,3.435366301158697,2.6892211772901415,2.909090909090909,1.9898989898989898,1.02020202020202,3.242424242424242
Myanmar Airways,2.7597169634927328,3.141383517725331,2.644850574712645,1.7037037037037037,1.7407407407407407,1.1111111111111112,3.2484070136637437
FlySafair,2.591837400084139,2.9071609116387283,2.4787593103448247,2.49,1.85,1.05,2.54
Edelweiss Air,2.9760422801851094,3.5404700967690736,3.275004137931038,2.25,2.83,1.1,3.1486514363266234
Ryanair,2.073286180058898,2.59101263814711,2.442151724137928,2.03,1.85,1,2.43
Air Dolomiti,2.865361692717598,3.1682198259322627,2.833571175950481,1.9230769230769231,2.141025641025641,1.2692307692307692,2.9457368387474707
JetSmart,1.7,1.6,1.7660758620689656,1.7,1.6,1,2.3
Camair-Co,1.5,2,1,1,2,1,2
Atlantic Airways,3.885512200252419,4.261482734916186,3.766075862068965,2.8,2,1,3.745116489482018
World2Fly,2.2061246669471326,2.290536372129096,2.5178620689655173,1,2.3333333333333335,1,1.6666666666666667
Airlink,3.3418374000841395,3.704593093966474,3.415004137931034,2.92,2,1.1,3.06
V Air,2.7142857142857144,3.4285714285714284,3.3010246305418716,2.7142857142857144,2.142857142857143,1,3
Sudan Airways,2.618374000841397,2.8716091163872877,2.5535862068965516,1,2,1,2.4511648948201765
Mauritania Airlines,2,1,1,2,1.5,1,2.5
Lubeck Air,5,5,5,5,2,1,5
Saudi Arabian Airlines,2.769469920067312,2.8684448204748554,2.4385737931034472,1.98,2.22,1.35,2.1
Hunnu Air,5,5,4,4,2,1,4
JetsuiteX,5,5,5,5,2,1,5
PAWA Dominicana,2.8091870004206987,3.935804558193644,2.776793103448276,2,2,1,2.5
Alitalia,2.3894699200673117,2.297160911638729,2.426075862068965,2.09,1.98,1.15,2.09
Rwandair,2.90832127485472,3.134093710213427,2.757852216748767,2.120879120879121,1.9230769230769231,1.2307692307692308,2.6412471943347313
Sol Líneas Aéreas,2.618374000841397,2.8716091163872877,2.5535862068965516,1,2,1,1
Avianca,1.5194699200673116,1.7797287293109827,1.5771475862068962,1.41,1.54,1.08,1.25
Maldivian,3.25,3.75,2.665189655172414,3.5,2,1,2.75
Vueling Airlines,2.1489398401346222,2.3256057321135835,2.237687586206894,1.52,1.75,1.18,1.55
Arik Air,2.314552852179063,2.357477619335798,2.1266602809706265,1.1481481481481481,1.7962962962962963,1,1.9426357368451919
Loganair,3.397195125157762,3.8196767093226165,3.075342672413794,2.8125,1.96875,1,2.65625
Air Zimbabwe,2.7395460839994397,3.1483572171399374,2.771589080459771,1.2916666666666667,1.875,1.0416666666666667,2.3800403377817982
Air Busan,3.4282683003786296,3.742224102374281,2.7375103448275873,2.25,2.05,1.2,4.1
Carpatair,2.6183740008413965,2.871609116387287,2.553586206896551,1,2,1,2.6060484053381594
Regent Airways,2.7942498183347997,2.74938347570678,2.398542319749217,2.3181818181818183,1.9545454545454546,1,3.272727272727273
Pegasus Airlines,1.9827561001262088,2.3594574586219648,2.265721379310343,1.72,1.68,1.05,1.91
Air Arabia,2.1874910601598656,2.2643218232774576,2.2623289655172396,1.57,1.81,1.23,1.72
SilkAir,2.9161837400084143,3.368716091163873,2.8787510344827583,3.25,2.16,1.36,2.92
Royal Air Maroc,3.0780211400925532,3.224593093966474,3.051788965517241,2.44,2.6,1.47,2.71
Iran Air,2.9216186369373123,3.124581973294359,2.9077481713688575,1.4696969696969697,1.9393939393939394,1,2.9014812225398092
Cambodia Bayon Airlines,3,4,2,3,2,1,4
Nepal Airlines,3.3636363636363638,3.727272727272727,3.6228359456635317,3.0606060606060606,2.0303030303030303,1.0606060606060606,3.515151515151515
Vanilla Air,2.5091056923724153,3.2978160858759455,2.460175066312997,2.6923076923076925,1.8461538461538463,1,3.1538461538461537
AirAsia Philippines,2.3852531201794975,2.80576243103661,2.4726298850574695,1.6933333333333334,1.9066666666666667,1.0133333333333334,2.12
TAP Portugal,2.559469920067311,2.6597287293109826,2.0603627586206885,1.94,2.04,1.26,2.12
Jetstar Japan,1.8368374000841399,2.258951139548411,2.2071517241379324,1.45,1.825,1.05,1.75
CityJet,2.8736748001682804,3.294321823277455,2.9494682758620714,1.58,1.63,1,2.894511648948202
Air KBZ,3.6666666666666665,3.888888888888889,3.2837318007662835,4.111111111111111,2,1,4.333333333333333
Air Pegasus,3.1545935002103493,2.9679022790968217,2.5535862068965516,2.5,2,1,2.75
Viva Air,1.6093890858825652,1.7600361089917438,2.105111330049261,1.042857142857143,1.7142857142857142,1.0142857142857142,1.1857142857142857
Blue1,2.609605556334628,2.8440825151734157,2.5125798212005117,1,1.9259259259259258,1,2.867184397697857
Condor Airlines,1.9632861800588972,2.3510126381471097,2.1628606896551714,1.7,1.83,1.09,1.77
Sansa Airlines,3.0591870004206987,3.935804558193644,2.5535862068965516,2.75,1.75,1,2.5
Blue Air,2.2674910601598652,2.4956057321135847,2.393400689655171,1.74,1.85,1.07,1.87
LAN Peru,2.6876151912174224,2.9583223168173745,2.548482758620691,1.2380952380952381,2.0952380952380953,1.0952380952380953,2.4581413384172954
PenAir,2.6666666666666665,2.6666666666666665,2,2.3333333333333335,2,1,1.6666666666666667
Uzbekistan Airways,2.810659444678163,2.7143358656631325,2.689240421455936,1.6944444444444444,1.8472222222222223,1,2.9654395687250252
Spirit Airlines,1.5932861800588978,1.9010126381471102,1.7580420689655165,1.38,1.54,1.02,1.42
BoraJet,3,3,3,1,2,1,1
Voyage Air,2.618374000841397,2.8716091163872877,2.5535862068965516,1,2,1,1
Pacific Airlines,2.3846153846153846,2.3846153846153846,1.8708859416445622,1.8461538461538463,1.6153846153846154,1,2.076923076923077
Transavia,2.1760422801851065,2.5417540056052017,2.2510799999999973,1.8,1.78,1,1.91
NIKI,2.7161362862351517,3.0395675482397513,2.7738193760262737,1.6428571428571428,1.9047619047619047,1,3.4285714285714284
Onur Air,2.2620845603702104,2.453508011210402,2.1001855172413757,1.06,1.43,1,2.84
Horizon Air,2.605229280605806,3.0675585637988485,2.602868965517242,1.68,1.92,1,3.064372766342457
Bulgaria Air,2.282226020193519,2.520470096769074,2.4271475862068943,1.94,1.42,1,2.54
Thomas Cook Airlines,2.308551220025242,2.9761482734916185,2.4896455172413785,2.53,2.14,1.08,2.58
Cambodia Airways,2.8091870004206987,3.435804558193644,2.276793103448276,2.5,2,1,2.5
Alliance Airlines,1.2,2.2,1.8214344827586206,1.6,1.6,1,1.6
Rhein-Neckar Air,4,5,5,5,2,1,5
Tibet Airlines,4,4,3,4,3,1,4
Sky Express Airlines,2.5091056923724153,2.797816085875945,2.379357206012377,2.08974358974359,1.7820512820512822,1.0128205128205128,2.141025641025641
AnadoluJet,2.328943090985582,2.9883281014897536,2.166398119122257,2.1363636363636362,1.5454545454545454,1,2.590909090909091
Insel Air,2.0467265792794977,2.25195096699498,2.375715970961885,1.1710526315789473,2.0526315789473686,1,1.736842105263158
SyrianAir,2.618374000841398,2.8716091163872886,2.5535862068965525,1,2,1,2.3292231739818843
InterSky,3.184187000420698,3.6858045581936434,3.4017931034482753,1,1.5,1,3.2255824474100887
Thai Smile Airways,3.9161837400084143,4.208716091163873,3.5476793103448285,3.83,2.13,1.17,3.82
Air Greenland,2.2853353754732857,2.6777801279678495,2.595991379310345,1.3125,2,1,2.0723846414838274
KLM Royal Dutch Airlines,2.547102440050484,3.092296546983237,2.514109655172413,2.15,2.49,1.56,2.21
KD Air,2.618374000841397,2.8716091163872877,2.5535862068965516,1,2,1,1
Blue Islands,2.61756437561352,2.968881647365731,2.495920977011496,1.2708333333333333,1.9583333333333333,1,2.821899268642087
Beijing Capital Airlines,3.9236748001682797,4.574321823277457,2.3107172413793102,1.8,2.2,1,3.8
Aerosur,2.4497265460664703,2.9975339028271177,2.5844263322884005,1,1.9090909090909092,1,2.2460899426291876
Lao Airlines,3.090252944888509,3.4322381447599515,2.883192528735627,2.0972222222222223,1.9444444444444444,1,3.5340439568725026
Yeti Airlines,2.6,2.8,2.2214344827586205,2.8,2,1,3
Interjet,2.052614640302903,2.143779281899424,2.220902758620688,1.23,1.79,1.01,1.25
Bamboo Airways,3.4413140001591835,3.705439562559758,2.9483634669151915,2.6486486486486487,2.324324324324324,1.5405405405405406,2.918918918918919
ASKY Airlines,2.1842064348557737,1.94535731446846,2.100935532233883,1.434782608695652,1.565217391304348,1,1.565217391304348
Air Berlin,2.63091870004207,2.8135804558193644,2.6182193103448266,2.19,2.36,1.38,2.5
Jetairfly,2.7942498183347997,3.340292566615871,2.898542319749217,2.1363636363636362,2.3181818181818183,1.2727272727272727,3.0410149904381982
FMI Air,3.5,5,4.5,5,2,1,4.5
Bahamasair,2.2896904914790137,2.2248658768172622,2.2910502117362377,1.4736842105263157,1.8771929824561404,1.087719298245614,1.5738068310337032
Central Mountain Air,2.043045091215053,2.407857860504468,2.17046394984326,1.7272727272727273,1.8181818181818181,1,2.3636363636363638
Turkmenistan Airlines,2.6437276503996645,2.639014330283963,2.451793103448277,1.25,1.65,1,2.665232978964036
easyJet,2.118021140092553,2.364593093966474,2.3723289655172386,1.71,1.7,1.02,1.97
Air Nostrum,3.1219881822006346,3.1234586892669487,2.4935172413793114,2.0681818181818183,1.8181818181818181,1.0227272727272727,3.102537476095496
Air Europa,2.4274910601598636,2.3756057321135833,2.094826896551722,1.8,2.12,1.3,1.81
Druk Air,3.2401057004627694,3.5793850140130097,3.254472413793105,1.75,1.65,1,3.0804659579280695
Virgin Australia,2.5909187000420695,3.2822965469832366,2.45178896551724,2.84,1.94,1.12,2.35
Level,2.4078883784920806,2.4268608145981103,2.2212907735321523,1.9054054054054055,2.418918918918919,1.2297297297297298,2.0945945945945947
Loch Lomond Seaplanes,3.8091870004206987,3.935804558193644,1.2767931034482758,1,3.5,1,3.7255824474100883
Scoot,2.237491060159864,2.4430379144413292,2.1710799999999977,1.83,1.83,1.18,1.83
LOT Polish Airlines,2.498021140092553,2.594593093966474,2.416253103448275,1.96,2,1.1,2.01
Air Bagan,2.7910772507362225,3.0751579768388773,2.7343879310344827,1,2,1,3.197384641483826
Air Seychelles,2.65609756790867,2.7182199120488963,2.551647716682196,1.364864864864865,2.1621621621621623,1.1216216216216217,2.4324324324324325
Volaris,1.5618374000841393,1.8245930939664743,1.8923289655172402,1.25,1.67,1.02,1.32
Madagasikara Airways,3.5,5,5,5,2,1,5
Flynas,2.169087629910096,2.346091927684652,2.19015453384419,1.5740740740740742,1.8888888888888888,1.0555555555555556,1.8148148148148149
LATAM Airlines,2.3827561001262088,2.4607413674580925,2.00161172413793,1.79,2.09,1.18,1.83
SmartLynx Airlines,1.9706441539108766,2.9901237781836376,2.0851671087533155,2.1538461538461537,1.8461538461538463,1,2.076923076923077
SCAT Airlines,3,3.5,3,3,2,1,4.75
ANA All Nippon Airways,4.214734960033656,4.534864364655491,4.015358620689656,4.13,3.69,2,4.11
Libyan Airlines,2.7285772507362225,2.9501579768388773,2.7343879310344827,1.375,2.1875,1.25,2.463373671115132
Air Memphis,2.6183740008413974,2.8716091163872886,2.553586206896552,1,2,1,1.9627912237050438
El Al Israel Airlines,2.609469920067312,3.0397287293109834,2.678573793103448,2.32,2.41,1.73,2.35
Air Serbia,2.3674910601598644,2.6743218232774564,2.2137551724137925,1.68,1.62,1.12,1.71
Xiamen Airlines,3.1942048801009673,3.324593093966474,3.1196455172413793,2.42,2.39,1.12,3.1
Southwest Airlines,2.2085512200252415,2.774864364655491,2.3726834482758603,2.15,2.18,1.72,2.18
South African Airways,2.789469920067312,3.108444820474856,2.7619662068965516,2.55,2.18,1.12,2.57
SATA Air Azores,2.499469920067312,2.719728729310983,2.255181379310345,2.07,1.72,1.11,2.33
CemAir,2.5394580002804656,2.6238697054624294,2.184528735632184,2,1.6666666666666667,1,2
Nordwind Airlines,4,3.5,1.7767931034482758,5,2,1,4.5
CSA Czech Airlines,2.1985512200252417,2.3361482734916184,2.2469703448275844,1.86,1.82,1.12,2.01
American Airlines,2.0618374000841397,2.2471609116387286,2.048219310344827,1.55,1.88,1.35,1.49
Intercaribbean Airways,2.5295935002103493,2.8429022790968217,2.3593879310344823,1.5,2.25,1,1.375
SriLankan Airlines,2.5351235801430363,2.8681735497858374,2.559468275862067,2.02,2.28,1.27,2.12
Coastal Aviation,3.75,3.5,2.165189655172414,4,2,1,4.5
Golden Myanmar Airlines,4,5,4,4.333333333333333,2,1,4.666666666666667
Qatar Airways,3.496183740008414,4.118716091163873,3.7476793103448274,3.56,3.71,2.3,3.51
Air Austral,2.628749362239191,2.875495180672738,2.622730741012474,1.5319148936170213,2.127659574468085,1.1063829787234043,2.7459677458166305
Silver Airways,1.708939840134623,1.9068896409497114,2.211974482758618,1.4,1.8,1,1.4
Croatia Airlines,2.9241066002898113,3.166887584533396,2.6152835249042106,1.7666666666666666,1.7,1.011111111111111,3.066666666666667
ZIPAIR,2.803674800168279,3.0943218232774563,2.5546496551724145,2.2,2.06,1.96,2.46
American Eagle,2.406183740008414,2.748716091163873,2.3450041379310336,2.1,1.67,1.31,2.19
TACA Regional,2.618374000841397,2.871609116387288,2.5535862068965516,1,2,1,2
SmartWings,2.3083421740959538,2.5685194722188354,2.4157676161919017,2,1.9130434782608696,1.0978260869565217,2.357229822094156
Aer Lingus,2.2771024400504833,2.5222965469832364,2.051788965517241,1.8,2.08,1.3,1.9
Emirates,2.9547349600336554,2.9235804558193643,2.8653586206896544,2.6,3.26,1.51,2.56
Cathay Dragon,3.8970705484006674,4.094703372844956,3.63796106785317,3.8548387096774195,3.661290322580645,1.2580645161290323,3.774193548387097
Wideroe,2.4221845219586258,2.7056371607966843,2.1195742128935535,1.391304347826087,1.6521739130434783,1,1.9241662814826466
EWA Air,3,1,2.5535862068965516,1,2,1,1
La Compagnie,3.6497055111485066,3.6387381829505463,3.404763218390805,3.1333333333333333,2.9555555555555557,1.6888888888888889,3.6222222222222222
Sriwijaya Air,2.9263089455769307,3.1267795078381515,2.6237053291536054,2.2,1.7454545454545454,1.0363636363636364,2.8545454545454545
Mandarin Airlines,4,4.5,3.25,3,2,1,4.5
LAN Colombia,3.3568902503155233,3.5768534186452325,2.9017931034482753,2.375,2.75,1.5,3.875
LAN Airlines,3.2061837400084143,3.5687160911638727,3.1876793103448278,1.99,3.17,1.14,3.21
Porter Airlines,2.6256536600757254,3.075877002802601,2.8516117241379293,2.29,1.89,1.27,2.2
Tigerair Taiwan,2.577296750105175,2.983951139548411,3.0401896551724135,2,2.125,1,2.375
Nok Air,2.896572360117795,3.2120252762942196,2.4991137931034477,2.48,1.95,1.27,2.9
Cape Air,1.7721277076043798,1.9317689665712692,1.9172582001682095,1.3902439024390243,1.5365853658536586,1,1.5585934095034233
Bhutan Airlines,3.6030623334735665,3.8119348527312145,3.425597701149425,1.3333333333333333,3.3333333333333335,1,3.6666666666666665
Air Botswana,2.4198798265991117,2.4870664186705236,2.2500089955022493,1.1304347826086956,1.608695652173913,1,1.9830138764591911
Amaszonas,2.6011483750525874,2.5544755697742056,2.3459913793103446,2.1875,2.0625,1.0625,2.3125
Yemenia,2.618374000841398,2.8716091163872886,2.5535862068965525,1,2,1,3.096512855311769
TAG Airlines,2.3259036924371377,2.59563217175189,2.2980848806366043,2.076923076923077,1.6923076923076923,1,2
HiSky,3,3.5,2.165189655172414,3,1.5,1,2.75
Fly540.com,2.2642898240490985,2.5677585718862668,2.181732251521299,1.2647058823529411,1.8823529411764706,1,2.681122184227684
Royal Jordanian Airlines,2.3618374000841396,2.2958770028026017,2.1141096551724137,1.88,1.92,1.19,1.69
Cayman Airways,2.331124666947133,2.7488697054624303,2.147327586206897,1.4166666666666667,1.625,1,2.0065897609892174
Philippine Airlines,2.408021140092553,3.034593093966473,2.505181379310344,1.9,2.18,1.27,2.08
Arkefly,1.8769431005469088,2.141545925651738,1.8098310344827593,1,1.45,1,1.847558244741009
airBaltic,2.57091870004207,2.4135804558193645,2.3691137931034465,2.05,1.83,1.05,2.04
Citilink,3.1618374000841394,3.703827578305395,2.6967367816091947,3.1666666666666665,1.95,1.0333333333333334,3.65751941491367
MEGA Maldives Airlines,1,4,2,2,2,1,1
Bangkok Airways,3.6209187000420697,4.043580455819364,3.6719662068965517,3.63,2.03,1.06,3.64
Royal Brunei Airlines,3.782367480016828,3.9274321823277454,3.5566075862068964,3.44,3.2,1.31,3.85
Monarch Airlines,3.096183740008414,3.688716091163873,2.928396551724137,2.53,1.56,1.02,3.37
euroAtlantic Airways,1.375,1.875,2.3537974137931035,1.625,1.625,1.25,1.4375
Copa Airlines,2.1603886201093805,2.3833091851303463,1.9971475862068955,1.57,1.85,1.08,1.65
Eastern Airways,2.496213714766511,3.0218718760308274,2.5155982484947987,1.5555555555555556,1.7936507936507937,1,2.3153197402009895
Aegean Airlines,2.7932861800588977,3.2010126381471093,2.7662531034482756,2.51,2.17,1.55,2.49
WOW air,2.019469920067312,2.448444820474856,1.9957213793103432,1.87,1.57,1.05,2
Jazz,3.2,4.6,3.6,4,2.2,1.6,3.8
